2023-01-10,inbound,tcp,RSTRH,2811305
2023-01-10,outbound,tcp,S0,109204150
2023-01-10,outbound,tcp,S1,6497194
2023-01-10,outbound,tcp,S2,2912544
2023-01-10,outbound,tcp,S3,3140922
2023-01-10,internal,udp,OTH,3682
2023-01-10,inbound,tcp,REJ,50369
2023-01-10,outbound,udp,SF,1898281
2023-01-10,outbound,udp,OTH,58804251
2023-01-10,outbound,tcp,SF,30508451
2023-01-10,outbound,tcp,SH,14670943
2023-01-10,inbound,udp,SHR,17407605
2023-01-10,outbound,tcp,RSTO,7320578
2023-01-10,outbound,tcp,RSTR,2896451
2023-01-10,internal,icmp,OTH,1217154
2023-01-10,inbound,tcp,OTH,14758189
2023-01-10,internal,udp,S0,236090
2023-01-10,internal,tcp,S0,346706
2023-01-10,internal,tcp,S1,2982
2023-01-10,inbound,udp,S0,1926152671
2023-01-10,internal,tcp,S2,2995
2023-01-10,internal,tcp,S3,1521
2023-01-10,inbound,tcp,S0,575250767
2023-01-10,inbound,tcp,S1,404283
2023-01-10,internal,tcp,SHR,20806
2023-01-10,inbound,tcp,S2,359457
2023-01-10,inbound,tcp,S3,189759
2023-01-10,internal,udp,SF,1503
2023-01-10,outbound,tcp,SHR,41035938
2023-01-10,internal,tcp,RSTO,4908
2023-01-10,inbound,icmp,OTH,137082897
2023-01-10,internal,tcp,RSTR,6097
2023-01-10,inbound,udp,OTH,66652508
2023-01-10,internal,tcp,SF,91263
2023-01-10,inbound,udp,SF,561935
2023-01-10,internal,tcp,SH,87842
2023-01-10,internal,tcp,REJ,12
2023-01-10,inbound,tcp,SF,7552014
2023-01-10,inbound,tcp,SH,7177533
2023-01-10,outbound,tcp,REJ,36558
2023-01-10,inbound,tcp,RSTO,1289955
2023-01-10,internal,tcp,RSTRH,3682
2023-01-10,internal,udp,SHR,57794
2023-01-10,outbound,tcp,RSTOS0,68260423
2023-01-10,inbound,tcp,RSTR,535318
2023-01-10,outbound,tcp,RSTRH,21932065
2023-01-10,outbound,udp,SHR,81936005
2023-01-10,inbound,tcp,RSTOS0,17650077
2023-01-10,internal,tcp,OTH,235342
2023-01-10,outbound,tcp,OTH,46751678
2023-01-10,outbound,udp,S0,1881049589
2023-01-10,inbound,tcp,SHR,10922120
2023-01-10,outbound,icmp,OTH,98917345
2023-01-10,internal,tcp,RSTOS0,23670
