2023-01-07,inbound,tcp,RSTRH,3942927
2023-01-07,outbound,tcp,S0,95171841
2023-01-07,outbound,tcp,S1,2058819
2023-01-07,outbound,tcp,S2,823671
2023-01-07,outbound,tcp,S3,1203724
2023-01-07,internal,udp,OTH,608
2023-01-07,inbound,tcp,REJ,19643
2023-01-07,outbound,udp,SF,538777
2023-01-07,outbound,udp,OTH,15880845
2023-01-07,outbound,tcp,SF,23371283
2023-01-07,outbound,tcp,SH,10127384
2023-01-07,inbound,udp,SHR,38633535
2023-01-07,outbound,tcp,RSTO,4256396
2023-01-07,outbound,tcp,RSTR,2144685
2023-01-07,internal,icmp,OTH,2011504
2023-01-07,inbound,tcp,OTH,26983212
2023-01-07,internal,udp,S0,251384
2023-01-07,internal,tcp,S0,508227
2023-01-07,internal,tcp,S1,5169
2023-01-07,inbound,udp,S0,2604856624
2023-01-07,internal,tcp,S2,1468
2023-01-07,internal,tcp,S3,925
2023-01-07,inbound,tcp,S0,1057053648
2023-01-07,inbound,tcp,S1,237946
2023-01-07,internal,tcp,SHR,29216
2023-01-07,inbound,tcp,S2,158735
2023-01-07,inbound,tcp,S3,114018
2023-01-07,internal,udp,SF,1248
2023-01-07,outbound,tcp,SHR,35927718
2023-01-07,internal,tcp,RSTO,13378
2023-01-07,inbound,icmp,OTH,209612754
2023-01-07,internal,tcp,RSTR,7797
2023-01-07,inbound,udp,OTH,24604368
2023-01-07,internal,tcp,SF,146077
2023-01-07,inbound,udp,SF,140875
2023-01-07,internal,tcp,SH,130537
2023-01-07,internal,tcp,REJ,8
2023-01-07,inbound,tcp,SF,10906071
2023-01-07,inbound,tcp,SH,9561925
2023-01-07,outbound,tcp,REJ,4145
2023-01-07,inbound,tcp,RSTO,1367312
2023-01-07,internal,tcp,RSTRH,5885
2023-01-07,internal,udp,SHR,91576
2023-01-07,outbound,tcp,RSTOS0,57851757
2023-01-07,inbound,tcp,RSTR,696679
2023-01-07,outbound,tcp,RSTRH,18232571
2023-01-07,outbound,udp,SHR,148859553
2023-01-07,inbound,tcp,RSTOS0,30069615
2023-01-07,internal,tcp,OTH,381369
2023-01-07,outbound,tcp,OTH,48692167
2023-01-07,outbound,udp,S0,2253413739
2023-01-07,outbound,icmp,OTH,170129344
2023-01-07,inbound,tcp,SHR,20270901
2023-01-07,internal,tcp,RSTOS0,62321
