2023-01-06,inbound,tcp,RSTRH,3589710
2023-01-06,outbound,tcp,S0,108661319
2023-01-06,outbound,tcp,S1,3719109
2023-01-06,outbound,tcp,S2,2179206
2023-01-06,outbound,tcp,S3,2666530
2023-01-06,internal,udp,OTH,682
2023-01-06,inbound,tcp,REJ,57992
2023-01-06,outbound,udp,SF,1067578
2023-01-06,outbound,udp,OTH,28685025
2023-01-06,outbound,tcp,SF,29525674
2023-01-06,outbound,tcp,SH,10651343
2023-01-06,inbound,udp,SHR,23357426
2023-01-06,outbound,tcp,RSTO,5619143
2023-01-06,outbound,tcp,RSTR,3027471
2023-01-06,internal,icmp,OTH,1765018
2023-01-06,inbound,tcp,OTH,22045361
2023-01-06,internal,udp,S0,376058
2023-01-06,internal,tcp,S0,461610
2023-01-06,internal,tcp,S1,6756
2023-01-06,inbound,udp,S0,2612407010
2023-01-06,internal,tcp,S2,3594
2023-01-06,internal,tcp,S3,2214
2023-01-06,inbound,tcp,S0,840130140
2023-01-06,inbound,tcp,S1,371422
2023-01-06,internal,tcp,SHR,34473
2023-01-06,inbound,tcp,S2,446199
2023-01-06,inbound,tcp,S3,267844
2023-01-06,internal,udp,SF,2059
2023-01-06,outbound,tcp,SHR,42129676
2023-01-06,internal,tcp,RSTO,13178
2023-01-06,inbound,icmp,OTH,170999557
2023-01-06,internal,tcp,RSTR,9621
2023-01-06,inbound,udp,OTH,38806390
2023-01-06,internal,tcp,SF,152257
2023-01-06,inbound,udp,SF,512109
2023-01-06,internal,tcp,SH,132941
2023-01-06,internal,tcp,REJ,11
2023-01-06,inbound,tcp,SF,11859860
2023-01-06,inbound,tcp,SH,9543573
2023-01-06,outbound,tcp,REJ,15965
2023-01-06,inbound,tcp,RSTO,1711973
2023-01-06,internal,tcp,RSTRH,7389
2023-01-06,internal,udp,SHR,97439
2023-01-06,outbound,tcp,RSTOS0,61556499
2023-01-06,inbound,tcp,RSTR,587586
2023-01-06,outbound,tcp,RSTRH,19791345
2023-01-06,outbound,udp,SHR,121399581
2023-01-06,inbound,tcp,RSTOS0,27024186
2023-01-06,internal,tcp,OTH,390607
2023-01-06,outbound,tcp,OTH,46448685
2023-01-06,outbound,udp,S0,2330456563
2023-01-06,inbound,tcp,SHR,16410545
2023-01-06,outbound,icmp,OTH,128825859
2023-01-06,internal,tcp,RSTOS0,43011
